제목,내용
대학원 영어학과 특별 콜로키움,"4월 25일 목요일에 개최될 대학원 영어학과 특별 콜로키움에 대해 안내드립니다.



- 강연자 : Dr. Esther Pascual (Shanghai International Studies University)
- 주제 : Intersubjectivity as a Driving Force of Language: Fictive Interaction Constructions in English and other Languages
- 일시 : 2024년 4월 25일 늦은 5시 30분
- 장소 : 서울캠퍼스 도서관 5층 컨퍼런스룸

 

학부 학생들의 많은 관심과 참여 바랍니다.

자세한 내용은 첨부해드리는 파일을 참고해주시기 바랍니다. 



감사합니다."
24-1 HUFS Global Mentoring 프로그램 신청 안내,"24-1 HUFS Global Mentoring 프로그램에 대해 안내드립니다. 
관심 있는 멘토/멘티 학생들은 4월 12일 15시까지 학과로 신청 서류 제출해주시기 바랍니다. (직접/메일 제출 모두 가능)


HUFS Global Mentoring 프로그램이란?

1. 개요
    • 대 상 : 외국인 전형으로 입학한 학과(부) 소속 재학생
    • 시 기 : 2024학년도 1학기
    • 운영방안 : 학과(부)에서 멘토 / 멘티 추천 -> 외종지 선발 검토 -> 학교 HUFSAbility 시스템내 학습공동체 “HUFS Global 멘토링”개설 운영
        ※ 유학생인원에 상관없이 멘토인원 제한하여 학과(부)에서 멘티인원 설정 유도
        예) 멘토 1명 – 멘티 1명 (1 : 1), (1 : 다수)
        예) 유학생 많은 학과(부) 경우, 멘토 5명 배정, 대면과 비대면 줌으로 멘토링 병행
    • 활동내용
        ☞ 학기별 수시 활동(최소 2주 1번 미팅, 비대면(zoom 등) 활동 가능)
        ☞ 활동 전 활동계획서 등 서류 제출. 선발된 멘토가 훕스어빌리티에 탑재한 학습계획서 토대로 학업 및 상담 상황 지속 관리
        ☞ 활동 종료 시점, 멘토가 최종 결과보고서, 만족도 설문조사 등을 훕스어빌리티에 업로드. 향후 외국인유학생종합지원센터 멘토·상담 실적으로 관리


2. 목표
    • 외국인 전형으로 입학한 학과(부) 소속 재학생들의 전반적인 학업 및 학교생활 만족도 향상 도모
    • 학과(부) 단위에서 외국인 재학생의 학업 및 학교생활에 대한 지도를 수행하지만, 부족한 부분을 메우는 학교 차원의 멘토링 프로그램 도입 필요


3.멘토 자격 및 선발
    • 학업성적 우수(직전학기 평점평균 3.5 이상)한 자
    • 외국인 유학생과 의사소통 가능자
    • 내국인 재학생 우선 선발(학부생 우선 선발, 대학원생 선발 가능)
    • 해당 학과(부)에서 직접 선발


4.멘티 자격 및 선발
    • 외국인 전형으로 입학한 학과(부) 소속 재학생
    • 입학 첫 학기 학생 및 저학년 학생 우선 선발(권장사항)
    • 해당 학과(부)에서 직접 선발


5.멘토 역할
    • 학사도우미(수강 신청 안내 포함)
    • 격주 1회 멘티 학생과 정기적 미팅(학기 중 총 8회)
    • 기본적인 학사 안내
    • 전공 / 교양과목 정보 제공 및 멘토링
    • 전반적인 대학 생활 고충 상담
    • 중간, 기말, 졸업 시험 대비 멘토링
    • 훕스어빌리티 학기초 학습계획서 및 학기말 결과보고서 업로드


6.멘토링 장학금 (멘토)
    • 멘토링 프로그램 참여 멘토에게 학기당 50만원 장학금 지급
    (등록금액 범위 초과하여 지급 가능 – 생활비성 장학금)
    • 학기별 전체 수료 멘토 인원의 20%(예산 범위내 선발인원 변동가능) 이내에서 Best Mentor 선발(활동기록지 참고)하여 추가 장학금 지급(10만원)


7.멘토링 프로그램 진행 방향




외종지 멘토 / 멘티 선발 협조 이메일 학과(부)로 발송



↓



학과(부) 선발 후 외종지로 선발 명단 송부 및 외종지 선발 검토



↓



학과(부) 멘토 -> 훕스 어빌리티 시스템 통해 HUFS Global Mentoring 프로그램 신청 시작



↓



학과(부) 멘토 -> 주차별 활동보고서, 학기말 최종 결과보고서, 만족도 설문 조사 훕스 어빌리티 업로드
외국인유학생종합지원센터 실적 -> 훕스어빌리티 데이터 축적 연계






8. 참고사항
    1) 멘토링 프로그램 지원시 아래 내용을 확인하신 후 신청하시기 바랍니다.
가. 멘토링 장학금 지원금액은 500,000원입니다.
나. 1학기 지원금은 2024년 4월 15일(월)부터 6월 21일(금)까지 멘토링을 진행한 멘토에게 장학금으로 지급됩니다.
다. 외국인 유학생이 재학 중인 학과(부)에서 선발된 멘토에게 장학금이 지급되며, 학과(부)에서 멘토 및 멘티를 추천하여 외국인유학생종합지원센터에 명단을 제출합니다.
라. 선발된 멘토는 HUFSAbility 시스템 학습공동체에 개설된 “HUFS Global 멘토링 프로그램”에 신청부터 학습계획서 그리고 활동일지를 주차별로 작성합니다.
마. 주차별 활동일지, 학기말 최종 결과보고서, 만족도 조사 결과를 완벽하게 작성하고 활동한 멘토에게만 장학금이 지급됩니다. 멘토 중 베스트 멘토를 선발(멘토 인원의 20%)하여 추가 장학금 지급할 예정입니다.
바. 멘토 장학금은 학과(부)별로 상이하며, 외국인유학생종합지원센터에서 매 학기말 멘토 장학금을 집행합니다.
사. 멘토 장학금에 대한 별도의 정산서는 필요하지 않습니다.
 
    2) 멘토링 프로그램 신청 제출서류(3종류)
가. 신청서류 : 프로그램 표지(학과(부)장 서명), 활동계획서, 멘토-멘티 추천명단 양식(은행계좌 포함)
 
    3) 훕스 어빌리티 시스템을 통한 멘토링 프로그램 신청
가. 신청서류 3종을 외국인유학생종합지원센터에 제출한 학과(부)에 한해, 해당 학과(부) 선발된 멘토는‘HUFSAbility’접속하여 멘토링 프로그램 신청
나. 선발된 멘토 - > 학교 홈페이지 접속 -> 홈페이지 하단 ‘HUFS Service’에서 ‘HUFSAbility’선택, 클릭 -> 종합정보시스템 ID와 PW로 로그인 - > 모집공고 진행 중인 HUFS Global Mentoring 프로그램 선택, 신청하기
훕스 어빌리티 로그인 신청방법 가이드 및 HUFSAbility 학생 매뉴얼(page 21-29)참조

    4) 장학금 지급 시기
가. 7월 중 지급(1학기 멘토링 프로그램 종료 후)
나. 학과(부)에서 제출한 멘토 명단을 토대로 재무회계팀 통해 기재된 은행계좌로 입금
 
“HUFS Global Mentoring” 프로그램에 대해 궁금한 사항이 있으시면 외국인 유학생종합지원센터로 문의해 주시기 바랍니다.
외국인유학생종합지원센터(02-2173-2859)"
24-1 국제화학과 장학생 선발 / 24-1 Scholarship Application for Students in the International Department,"ELLT학과에서 아래와 같이 국제화학과 지원 장학생을 선발합니다.
내/외국인 학생 모두 지원 가능하니 많은 지원 바랍니다.
 
- 아 래 -
1. 장학금명: 국제화학과 지원 장학금
2. 선발인원: 00명
3. 장학금액: 미정 (등록금 범위 초과 수혜 가능)
4. 선발기준: 외국인 재학생 우선 선발, 영어학과 및 ELLT학과 재학생, 성적 및 가정형편 등을 판단하여 결정
*신입생 지원 불가
*추가학기 중인 경우 지원 불가
*기 수혜자 지원 불가
5. 제출서류:
- 자기소개서 1부 (자유 양식, 학번/현재 학기 수/이름/연락처(전화번호, 이메일 모두 작성)/이번 학기에 받은 장학금명과 금액 반드시 기재)
- 성적증명서 1부 (원본제출)
 
[내국인 학생]
1. 아래 내용을 자기소개서에 필수로 작성해서 제출(A4 기준 1페이지 이내)
- 현재까지 평점, 지난 학기 평점
- 현재 생계 유지를 위해 아르바이트 등의 활동 유무
- 신청 사유
2. 추후 최종 선정된 학생은 아래 서류를 제출해야 함
- 본인 명의 계좌번호
- 생계 유지 활동(예: 아르바이트) 중임을 확인할 수 있는 서류(해당자에 한함)
 
[외국인 학생]
1. 아래 내용을 자기소개서에 필수로 작성해서 제출(A4 기준 1페이지 이내)
- 현재까지 평점, 지난 학기 평점
- 현재 생계 유지를 위해 아르바이트 등의 활동 유무
- 신청 사유
2. 추후 최종 선정된 학생은 아래 서류를 제출해야 함
- 본인 명의 계좌번호
- 생계 유지 활동(예: 아르바이트) 중임을 확인할 수 있는 서류(해당자에 한함)
- 본인이 한국에 체류 중인 사실을 증빙할 수 있는 서류(최근 날짜로 발급된 출입국 증명 등)
 
6. 제출처: 본관 415호 ELLT학과장실 및 학과 이메일 제출 (hufs_elg@hufs.ac.kr)
7. 제출기한: 2024년 4월 9일 (화) 낮 12시까지제출
8. 관련 문의: 02-2173-2266 / hufs_elg@hufs.ac.kr
 
The ELLT department is accepting scholarship application for students in the international department as follows.
Both Korean and international students can apply.
 
1. Scholarship: Scholarship for Students in the International Department
2. Number of Students Accepted: undetermined
3. Amount: undetermined (students can receive this scholarshipeven if the total scholarship range in this semester exceeds the tuition fee.)
4. Selection Criteria: international students have the priority, students in Department of English Linguistics / Department of ELLT, grades and family income will be considered
* Freshmen cannot apply for this scholarship.
* Students who are in an extra semester cannot apply for this scholarship.
* Previous recipients of this scholarship cannot reapply.
5. Necessary Documents:
- 1 letter of application (open format, student ID/current semester(ex: 5th semester)/contact information(phone number, email address)/other scholarships received this semester - name/amount)
- 1 academic transcript(original copy)
 
[Notice for international students]
1. The following elements must be in your application letter (A4, within 1 page)
- average academic grade so far, average academic grade of last semester
- status of whether you are working for economical reasons
- reasons for applying
2. Students who are accepted must provide the following documents
- personal account number
- proof of residing in Korea (immigration certification)
- proof of working status (proof that you are working for economical reasons - only students who are concerned)
 
6. Submissions: Main Building 415(ELLT Office) or email(hufs_elg@hufs.ac.kr)
7. Submission Deadline: by12PM 9/April/2024
8. Questions: 02-2173-2266 / hufs_elg@hufs.ac.kr"
[필독] 24-1 졸업보고서 제출 안내,"2024년 1학기 졸업보고서 제출 일정과 관련하여 다음과 같이 공지합니다.

※ 제출기한을 준수해주시기 바랍니다. 개인 사정으로 인한 기한 이후의 추가 제출은 받지 않습니다.

[졸업보고서 제출]

1. 제출 대상: 2024년 8월 졸업예정자 (ELLT/영어학과 이중전공자 포함)

2. 제출 기한: 2024년 6월 12일 수요일 오후 3시까지

3. 제출 장소: 본관 415호 ELLT학과 사무실 (직접 방문 제출만 가능)
  - 학기 중 학과장실 근무 시간: 09:00 ~ 17:00 (점심시간 12:00 ~ 13:00)
  - 방학 중 학과장실 근무 시간: 10:00 ~ 15:00 (점심시간 12:00 ~ 13:00)

4. 제출 서류
  1) 성적증명서 - 16학번 포함/이후 필수 제출, BLS학위 희망자 필수 제출
  2) 졸업이수학점점검표 - 18학번 포함/이후 필수 제출
  3) 졸업신청서
  4) 공인영어성적표 - FLEX 610점 이상, TOEIC 805점 이상, TOEFL IBT 94점 이상, IELTS 6.5점 이상 중 택 1 (제출 시 유효기간이 남아있어야 함)
  5) 이번 학기 시간표 - 현재 마지막 학기 재학 중인 경우 필수 제출

5. 기타 유의사항
  - BA / BLS 희망 학위를 표기하는 졸업신청서(첨부문서)를 다운로드하여 반드시 작성하시고, 공인영어성적표와 함께 제출해주시기 바랍니다.
  - 이전에 졸업보고서를 이미 제출한 졸업유예 학생은 본인 종합정보시스템 [성적/학점/졸업관리] --> [졸업시험/논문/외국어(졸업)인증 조회] --> [졸업시험/논문]이 '합격'이면 학과장실로 졸업보고서를 다시 제출하지 않아도 됩니다. 
  - 공인영어성적표는 졸업사정 근거입니다. 학과장실에서 돌려드리지 않습니다.
  - 제2외국어인증은 학사종합지원센터에 제출바랍니다.
  - 학과 공지, 수강편람, 학사종합지원센터 공지를 반드시 미리 확인하여 졸업하는데 문제가 없기를 바랍니다."
대학원 영어학과 4월 콜로키움,"4월 18일 목요일에 개최될 제 74회 대학원 영어학과 콜로키움에 대해 안내드립니다.

- 강연자 : Jeong-Im Han (Konkuk University, jhan@konkuk.ac.kr)
- 주제 : On the relationship between perception and production in second-language phonological acquisition
- 일시 : 2024년 4월 18일 목요일 늦은 5시 30분
- 장소 : 서울캠퍼스 대학원 4층 BRICs국제포럼장 6411호
 
학부 학생들의 많은 관심과 참여 바랍니다.
자세한 내용은 첨부해드리는 파일을 참고해주시기 바랍니다. 

감사합니다."
[교직과정] 전공기본이수과목 안내,"ELLT학과에서 교직과정에 선발된 학생들을 대상으로 안내드립니다. 

아래와 같이 수강편람에 명시된 ELLT학과 전공기본이수과목 리스트 중 2번 영역 충족 조건에 대해 안내드립니다. 




2번 영역 충족 조건:
- 2024년 이전에 교직과정 선발된 학생: 영국문학개관(1)과 영국문학개관(2) 중 하나만 수강해도 2번 영역 충족 
- 2024년부터 교직과정 선발된 학생: 영국문학개관(1)과 영국문학개관(2) 모두 수강해야 2번 영역 충족

위 내용으로 3월 말 이후 수강편람이 수정될 예정입니다. 교직과정 선발 시기에 따라 조건이 상이하니 착오 없으시길 바랍니다."
"ELLT학과, AI융합전공(Language&AI) 동일 교과목 중복 수강 금지 목록 (2023.09.05 수정)","* 중복수강 금지 교과목 운영 관련 사항
1. ELLT학과에 개설된 아래 과목을 수강/이수한 학생은 AI융합전공(Language&AI)에 개설된 동일 교과목을 수강/이수하지 못하며, 반대의 경우도 해당됨
2. 재수강을 할 경우 반드시 해당 학과 교과목으로 수강/이수해야 함
3. ELLT학과와 AI융합전공에 동시에 개설되는 과목의 경우, AI융합전공 Language&AI 트랙을 이중전공하는 ELLT학과 1전공생은 원칙적으로 AI융합전공 Language&AI 트랙에 개설된 교과목을 이수해야 이중전공 학점으로 인정함. 단, 두 전공(학과)에 동시에 개설되는 과목이 특정 학기에 두 전공(학과) 중 한 전공(학과)에만 개설되는 경우 해당 과목이 개설되는 전공(학과)에서 수강 가능함.






번호

ELLT학과

AI융합전공(Language&AI)



1

언어공학개론

언어공학개론



2

컴퓨터와 영어학

컴퓨터와 언어학



3

영어 데이터 분석

언어 데이터 분석의 기초



4

영어 데이터 처리를 위한 프로그래밍(1)

고급 파이썬 프로그래밍



5

영어 데이터 처리를 위한 프로그래밍(2)

언어 분석을 위한 프로그래밍



6

영어 데이터 분석을 위한 통계(2)

언어 분석을 위한 통계



7

영어 분석을 위한 기계학습

언어 분석을 위한 기계학습



8

영어와 데이터베이스

언어와 데이터베이스



9

실용자연어처리

실용자연어처리



10

응용자연어처리

응용자연어처리



11

실용음성처리

실용음성처리



12

코퍼스와 언어자료

코퍼스와 언어자료





* 위 내용은 23-2학기부터 적용"
"전공필수 교과목, 이론/실용 학점, 공인 영어 시험 졸업 기준","~ 15학번까지 : 없음
                            - BLS트랙: 전공 학점 54학점(전공심화의 경우 70 혹은 75학점) 중 언어공학 교과목(언어공학개론 포함) 18학점 이상 이수
16학번/17학번 : 고급영어문법(1)(2), 영어학개론(1)(2)
                            - BLS트랙: 전공 학점 54학점(전공심화의 경우 70학점) 중 언어공학 교과목(언어공학개론 포함) 18학점 이상 이수
18학번 포함 이후 : 고급영어문법(1)(2), Critical Writing(1)(2), 언어공학개론, 영어학개론(1)
                            (이중전공자는 언어공학개론 필수 과목 아님. 단, BLS학위 희망자는 필수)
                            - BA트랙: 전공 54 학점(전공심화의 경우 70학점) 중 이론 과목 최소 34 학점 이상 이수 및 실용 과목 최소 12 학점 이상 이수
                            - BLS트랙: 이론 과목 34 학점 중 언어공학 교과목(언어공학개론 포함) 21 학점 이상 및 실용과목 최소 12 학점 이상 이수
                            - 이론/실용 과목은 [ACADEMICS] - [Curricula]에서 확인

※ ELLT학과 이중전공생의 경우 최소 이론/실용 학점이 다르니 [ACADEMICS] - [Curricula] 페이지의 내용 필독 

[공인 영어 시험 졸업 기준] (편입생, 전과생, 재입학생 등 모두 해당)
아래 중 택1
- FLEX 610점 이상
- TOEIC 805점 이상
- TOEFL IBT 94점 이상
- IELTS 6.5점 이상

졸업 관련 제출 서류, 기준 및 상세 일정은 학과 공지사항 참고 바라며, 기타 문의가 있는 경우 학과 메일 또는 전화 문의 바랍니다."
[필독] 영어대 교류 및 신청 절차 안내 (Guide for Credit Exchange in College of English and Application Process) (23.01.30.),"영어대학 학점 교류 및 신청 절차 안내
(Guide for Credit Exchange in College of English and Application Process)
 
□ 영어대학 학점 교류란?
1. 본인의 1(이중)전공이 아닌 영어대학 내의 다른 학과에 개설된 영어대학 내 전공교류로 지정된 교과목을 이수하면 1전공(이중전공)으로 최대 11학점까지 인정받을 수 있는 제도
(11학점을 초과한 학점은 전공이 아닌 자선으로 인정됨)

2. 1전공자가 이중(부)영역에 개설된 과목을 수강 시 전공학점으로 인정되지 않음.

3. 부전공자는 영어대학 학점 교류가 불가함.

□ What is Credit Exchange in College of English?
 
1. A system that transfers credits to your major(double major) (ELLT, ELC or EICC) by taking a subject in other major(double major) in College of English designated for a credit exchange in College of English.

2. The credit exchange with designated subjects is limited up to 11 credits while you are attending in college. (Credits exceeding 11 are transferred as electives, not as your (double)major.)
 
3. When a major student takes a course which is offered for double major (or minor) students, it cannot be transferred as major credits.
 
4. Minor students cannot use the credit exchange system in College of English.
 
□ 영어대학 학점 교류 신청 절차
1. 영어대 교류로 지정된 교과목 수강신청(이수구분이 자선으로 표기됨)

2. 붙임의 이수구분변경신청서를 작성하여 학사종합지원센터 영어대학 담당자에게 제출
(학사종합지원센터 역사관 1층 7번 창구 방문 또는 이메일 haksa7@hufs.ac.kr 제출)

3. 학사종합지원센터 영어대학 담당자가 요건 확인 이수구분 변경 처리->종합정보시스템에서 이수구분 변경 내역 확인

□ Application Process for Credit Exchange in College of English
 
After filling out the ""Application form of Credit Exchange in College of English"" placed in the department's office, you should be approved by the office of your (double)major department. 
(If both of your major and double major are in College of English, you should fill out the application for each department and be approved respectively as well.)
 
2. Submit the approved application form to the director who is in charge of College of English in the Student Support Center(학사종합지원센터) in person or his/her email(haksa7@hufs.ac.kr).


※ 위 절차를 거치지 않으면 이수 구분이 자선으로 남게 되니 교류 학점을 1(이중)전공으로 인정받기 원하는 학생들은 반드시 위 절차를 지키기 바람.
※ Please make sure to follow the process if you want to transfer credits to your (double)major. If you don’t, they will leave as electives.


* 영어대 교류로 수강한 과목 모두 '이론' 학점으로 인정 (과목 관련 자세한 사항은 [ACADEMICS] - [Curricula] 참고)"
재수강 동일 교과목 현황 안내,"안녕하세요 ELLT/영어학과 학과장실입니다.
 
재수강 동일 교과목 현황 및 주의사항 안내입니다.
 
<주의사항>
1. 구교과과정의 1개 교과목이 현교과과정에서 2개 교과목으로 재수강 연결이 된 경우
→ 현교과과정의 2개 교과목 중 1개 교과목만 선택하여 재수강

2. 구교과과정의 2개 교과목이 현교과과정의 1개 교과목으로 재수강 연결이 되어 있고 구교과과정의 2개 교과목을 모두 재수강 하고자 할 경우
→ 현교과과정으로 연결되어 있는 1개 교과목을 재수강하고, 나머지 1개 교과목에 대해서는 학과장님의 허가를 받고 다른 과목으로 재수강



2018학년도 제 1학기


구교과과정(변경 전 교과목)
현교과과정


학년/학기
교과목명
학년/학기
교과목명
학점
시간
비고


1-1
미디어영어(1)
1-1
Media English - Listening (1)
2
2
ELLT 교과목


1-1
시사영어강독
1-1
Media English - Reading (1)
2
2
ELLT 교과목


1-1
영어다독(1)
1-1
Intensive Reading (1)
2
2
ELLT 교과목


1-1
영어에세이읽기와쓰기(1)
2-1
Critical Reading and Writing (1)
2
2
ELLT 교과목


1-1
영어작문(1)
1-1
Critical Writing (General 1)
2
2
ELLT 교과목


1-1
영어회화(1)
1-1
Interacting in Spoken English (1)
2
2
ELLT 교과목


2-1
고급영어작문(1)
4-1
Research Writing (1)
2
2
ELLT 교과목


2-1
고급영어회화(1)
3-1
Debating in English(1)
2
2
ELLT 교과목


2-1
고급시사영어강독
3-1
Journalism Reading and Writing (1)
2
2
ELLT 교과목


2-1
실무통상영어(1)
4-1
Business Communication (1)
2
2
ELLT 교과목


2-1
영어기사읽기와쓰기(1)
3-1
Journalism Reading and Writing (1)
2
2
ELLT 교과목


2-1
영어연설과발표(1)
2-1
Becoming a Great Orator (1)
2
2
ELLT 교과목


3-1
영어토론(1)
2-1
Becoming a Great Orator (1)
2
2
ELLT 교과목


4-1
고급영어토론(1)
3-1
Debating in English (1)
2
2
ELLT 교과목



 


2018학년도 제 2학기


구교과과정(변경 전 교과목)
현교과과정


학년/학기
교과목명
학년/학기
교과목명
학점
시간
비고


1-2
미디어영어(2)
1-2
Media English - Listening (2)
2
2
ELLT 교과목


1-2
명문영어강독
1-2
Media English - Reading (2)
2
2
ELLT 교과목


1-2
영어다독(2)
1-2
Intensive Reading (2)
2
2
ELLT 교과목


1-2
영어에세이읽기와쓰기(2)
2-2
Critical Reading and Writing (2)
2
2
ELLT 교과목


1-2
영어작문(2)
1-2
Critical Writing (General 2)
2
2
ELLT 교과목


1-2
영어회화(2)
1-2
Interacting in Spoken English (2)
2
2
ELLT 교과목


2-2
고급영어작문(2)
4-2
Research Writing (2)
2
2
ELLT 교과목


2-2
고급영어회화(2)
3-2
Debating in English(2)
2
2
ELLT 교과목


2-2
고급명문영어강독
3-2
Journalism Reading and Writing (2)
2
2
ELLT 교과목


2-2
실무통상영어(2)
4-2
Business Communication (2)
2
2
ELLT 교과목


2-2
영어기사읽기와쓰기(2)
3-2
Journalism Reading and Writing (2)
2
2
ELLT 교과목


2-2
영어연설과발표(2)
2-2
Becoming a Great Orator (2)
2
2
ELLT 교과목


3-2
영어토론(2)
2-2
Becoming a Great Orator (2)
2
2
ELLT 교과목


4-2
고급영어토론(2)
3-2
Debating in English (2)
2
2
ELLT 교과목



※ The translated version of the above table(English) is attached.
 
 
감사합니다."
